ts,source,namespace,pod,node,level,verb,code,route,msg,container_restart,rollout_in_window
2025-09-10 16:41:49.308476949+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308476949Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308476949+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308476949Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308476949+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308476949Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308505226+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308505226Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308522289+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308522289Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308529901+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308529901Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308533290+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308533290Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308536379+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308536379Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308539484+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308539484Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308542617+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308542617Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
